problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,dataset_path,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
deterministic,fogas_diag,1500,0.001,0.0001,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.669,0.9300000000000002,1471.088452876953,443
deterministic,fenchel_mirror,4000,0.001,0.01,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.78,1.0,0.6747999999999998,0.9300000000000002,419.77393571299035,737
deterministic,fogas_diag,2000,0.001,0.0001,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.77,1.0,0.6550999999999999,0.9300000000000002,156.77323581301607,26
deterministic,fogas_diag,2000,0.001,0.0001,0.03,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.77,1.0,0.6550999999999999,0.9300000000000002,268.91742801998043,49
deterministic,fogas_diag,2000,0.001,0.0001,0.01,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.77,1.0,0.6550999999999999,0.9300000000000002,629.8543714890257,214
deterministic,fogas_diag,2000,0.001,0.0001,0.1,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.77,1.0,0.6548999999999999,0.9300000000000002,596.6184221209842,202
deterministic,fogas_diag,2000,0.001,0.0001,0.2,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.77,1.0,0.6548999999999999,0.9300000000000002,905.3340666220174,320
deterministic,projected_gradient,4000,0.001,0.001,0.05,0.25,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.77,1.0,0.6519999999999999,0.9300000000000002,437.30278994498076,556
deterministic,projected_gradient,3000,0.001,0.001,0.05,0.25,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.77,1.0,0.6507,0.9300000000000002,395.184103298001,459
deterministic,fenchel_mirror,3000,0.001,0.01,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.76,1.0,0.648,0.9300000000000002,339.083772892016,663
