experiment_id,rank,episodes,learning_rate,eta,lambda_entropy,rollout_length,batch_size,scheduler_name,tau,hidden_size,rff_features,init_log_std,gamma,device,seconds,best_eval_return_mean,best_eval_return_std,best_eval_episode,final_eval_return_mean,final_eval_return_std,avg_reward,train_return_mean,train_return_recent_10_mean,last_objective,last_primal_mse,last_dual_mse,tail_objective_mean,tail_policy_grad_norm_mean
10,1,220,0.001,0.004,0.001,20,20000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:4,1048.9988005161283,-221.72072082886103,160.27748720330442,170.0,-1334.7807344389455,157.48517794388212,-1334.7807344389455,-1109.3822936133065,-1358.488231892504,9223.2998046875,9243.6474609375,5086.87060546875,16812.066201171874,61934.82381958008
298,2,330,0.001,0.004,0.001,20,20000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:4,2556.6124687194824,-221.72072082886103,160.27748720330442,170.0,-1269.0576845064463,236.8893042271511,-1269.0576845064463,-1203.4593373704215,-1360.896281259626,66768.6484375,67057.78125,72283.234375,27085.16404296875,110160.3573449707
285,3,220,0.0001,0.1,0.1,20,10000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:3,864.6983194351196,-689.442010182612,140.8610200162753,10.0,-1533.2903550738256,75.40988924136666,-1533.2903550738256,-1342.7920785943768,-1522.7073060997377,2941.701171875,3301.610595703125,3599.09375,3136.6291918945312,24066.36903320313
573,4,330,0.0001,0.1,0.1,20,10000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:3,1551.896155834198,-689.442010182612,140.8610200162753,10.0,-1478.2708494951253,159.7300365589508,-1478.2708494951253,-1370.1074227457632,-1416.245288162246,2800.7880859375,3149.9931640625,3492.0517578125,2921.147067871094,23785.700380859376
572,5,330,0.0001,0.1,0.1,20,10000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:2,1538.2716019153595,-729.6779840957021,56.13153171277376,10.0,-1298.9086567459988,262.8449794798411,-1298.9086567459988,-1275.0816970350777,-1395.782245777477,164.5247344970703,189.7118225097656,251.8708953857422,165.51469375610353,118.5281296825409
284,6,220,0.0001,0.1,0.1,20,10000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:2,857.0815162658691,-729.6779840957021,56.13153171277376,10.0,-1252.9298681690295,266.8854232614545,-1252.9298681690295,-1244.563495887424,-1401.9139686516287,369.184326171875,406.3917236328125,372.0741271972656,361.88374114990233,4409.34396484375
31,7,220,0.001,0.004,0.1,10,20000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:1,663.2210040092468,-747.8426555706619,323.25513505290814,70.0,-1594.9585013338651,85.40267043805191,-1594.9585013338651,-1386.9716300079824,-1488.496030879064,4116.47509765625,4122.50830078125,1508.25732421875,7792.342400512695,22743.916041240693
319,8,330,0.001,0.004,0.1,10,20000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:1,1123.4252648353577,-747.8426555706619,323.25513505290814,70.0,-1129.213163462011,59.14660799899363,-1129.213163462011,-1384.3268313363972,-1148.4800195790874,1054.3646240234375,1055.01220703125,161.91009521484375,10501.817825927734,42193.224588394165
236,9,220,0.0001,0.04,0.01,20,10000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:2,853.5417249202728,-778.3457765154538,59.24096817163773,190.0,-750.3840858654872,3.967244913627653,-750.3840858654872,-1169.316914309877,-1135.0149127768495,3249.2548828125,3284.257080078125,875.05712890625,3319.108471679688,7495.863803710938
524,10,330,0.0001,0.04,0.01,20,10000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:2,1543.2853145599363,-778.3457765154538,59.24096817163773,190.0,-955.119974569972,230.9049812306166,-955.119974569972,-1159.7295072424138,-1212.8863494502775,1619.8909912109375,1639.0277099609375,478.4183654785156,1631.3587316894532,3026.11021484375
574,11,330,0.0001,0.1,0.1,20,20000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:4,2057.636568546295,-790.4110444280319,37.159145895260245,10.0,-1364.389768769675,235.1052537320364,-1364.389768769675,-1326.3169269269818,-1389.547791404578,133.88330078125,162.56602478027344,286.8272705078125,135.71979919433593,111.8060263299942
286,12,220,0.0001,0.1,0.1,20,20000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:4,1536.8843805789948,-790.4110444280319,37.159145895260245,10.0,-1328.9601752278463,228.17753911464013,-1328.9601752278463,-1290.3810412703638,-1465.6952557940697,459.7082824707031,527.4802856445312,677.7200317382812,504.0816473388672,7027.86482421875
388,13,330,0.001,0.04,0.1,10,10000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:4,2019.3654375076292,-817.2843542146624,85.02056648739408,190.0,-1573.2001838248768,170.16984985157538,-1573.2001838248768,-1250.6746455280538,-1459.0487552616391,558.7213134765625,578.516357421875,494.87542724609375,2161.893308105469,11940.476662597655
100,14,220,0.001,0.04,0.1,10,10000,inverse_time_tau_5000,5000.0,64,100,-1.5,0.995,cuda:4,1296.6704959869385,-817.2843542146624,85.02056648739408,190.0,-980.3364584095872,60.93313396831131,-980.3364584095872,-1243.0273081334044,-1209.2036773338434,5529.64453125,5781.2578125,6290.3359375,2866.969948730469,14030.056508789065
45,15,220,0.001,0.01,0.001,20,10000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:3,875.4866464138031,-829.8838118842432,527.2157077804985,120.0,-1061.972218736554,71.16418864221048,-1061.972218736554,-1188.819826180467,-1236.5757045443174,8404.94921875,8500.3134765625,9536.3837890625,8855.9196875,34712.45910400391
333,16,330,0.001,0.01,0.001,20,10000,inverse_time_tau_20000,20000.0,64,100,-1.5,0.995,cuda:3,1621.843644618988,-829.8838118842432,527.2157077804985,120.0,-1178.3305145513957,72.36299195401112,-1178.3305145513957,-1207.8129536759411,-1194.855644685897,8845.33203125,8942.5419921875,9720.990234375,9550.966616210935,39615.02471191406
