alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
3e-05,1e-08,0.1,20000,0.0001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,937.524943892,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.046486275330444,-13.591256021213376,-2.8902236596519115,-36.97957080396792,149.28226083446089,2.9895340208482565e-05,38.98382873490433,0.4463947820860222,51
3e-05,1e-08,0.5,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,937.5743943630077,200.0,0.0,-200.0,200.0,0.0,-200.0,-346.0424117476409,-295.4871886748586,-5.887301192532809,-346.0279231963115,918.2087977043063,0.311655182549716,551.4316069074011,0.42007625529046716,89
3e-05,1e-08,0.02,20000,0.0001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.589630011993,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04658523795369,-13.590795800076393,-2.890322622118146,-36.979668270133175,198.54489546467443,2.994204719775098e-05,38.984334297578705,0.4463960411732801,26
3e-05,1e-08,0.005,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,937.6303144030098,200.0,0.0,-200.0,200.0,0.0,-200.0,-351.4767087701139,-302.3196831871582,-11.32893970512419,-351.46836793371557,936.8375584788481,28.16383897862007,664.9659205629463,1.217509453099988,18
3e-05,1e-08,0.02,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,937.7554151889926,200.0,0.0,-200.0,200.0,0.0,-200.0,-354.7817223650859,-316.4747250450904,-14.641747363509305,-354.782170662368,946.3345352693779,2.6621618444525654,286.5305771438323,0.6839051355733768,41
3e-05,1e-08,0.5,20000,0.001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,937.8254497580056,200.0,0.0,-200.0,200.0,0.0,-200.0,-349.7482372577452,-277.81076847023644,-9.594393806562396,-349.7418527329922,927.5427042703519,0.36913974826714285,200.3345493056347,0.5392626412394594,91
3e-05,1e-08,0.02,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,938.0281620300084,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.8647284814856,-47.27602328639864,-7.708404160415255,-109.80503276612862,418.26519559558307,7.527541980790601e-05,111.15360769970225,0.4431842022235252,33
3e-05,1e-08,0.02,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,938.0430199019902,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86470457478195,-47.27669201796529,-7.708380255459728,-109.80500958833021,414.3705922613617,7.54264140132212e-05,111.13393481703797,0.44318410398550573,34
3e-05,1e-08,0.1,20000,0.0001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,938.2594340510259,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.046488659705794,-13.591124093719174,-2.8902260439036174,-36.97957275834045,199.12122159931477,2.9944921825276346e-05,38.98353501859671,0.44639488828322166,49
3e-05,1e-08,0.5,20000,0.0001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,938.5321449670009,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04600568790088,-13.592789101580173,-2.889743072266762,-36.97909519553903,198.87791175568003,2.994393371094076e-05,38.97978682693432,0.4463891200890945,73
3e-05,1e-08,0.5,20000,0.0003,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,939.0544189989741,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86318372680047,-47.28241585277322,-7.706859406459172,-109.80349495706358,388.9657926080279,7.53794416121712e-05,111.1312513242068,0.44317796520841124,83
3e-05,1e-08,0.1,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,939.396723185986,200.0,0.0,-200.0,200.0,0.0,-200.0,-352.0089091898551,-298.04558759372674,-11.854858206728265,-352.00545157773263,931.7609774390338,0.895724642469655,251.99925769192177,0.6513952776890268,66
3e-05,1e-08,0.02,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,939.4362009220058,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86471457632287,-47.27662632083099,-7.708390256091394,-109.80501951800903,303.55941825436446,7.564142587962669e-05,111.14236170152763,0.4431838998619937,36
3e-05,1e-08,0.1,20000,0.0003,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,939.6012938739732,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.8644562591938,-47.27762350990107,-7.70813193826408,-109.80476228430189,389.67120653837776,7.542921421851799e-05,111.13362342170603,0.4431830828432937,59
3e-05,1e-08,0.1,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,939.6724222209887,200.0,0.0,-200.0,200.0,0.0,-200.0,-376.6932250435325,-331.725898231804,-36.60986551501319,-376.6738068161921,878.5271748331076,20.078929281838136,549.161226137572,0.613619272223058,68
3e-05,1e-08,0.5,20000,0.0001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,939.8406215639843,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04600546027936,-13.592810720996013,-2.8897428446578246,-36.97909503837518,191.91119049593215,2.9942907785466686e-05,38.97975190052077,0.446389110017705,75
3e-05,1e-08,0.5,20000,0.0001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,939.9896470399981,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04600566726523,-13.59279100305246,-2.889743051632102,-36.97909518109819,198.24470504871692,2.994616579774337e-05,38.979741488459105,0.44638911917181856,74
3e-05,1e-08,0.5,20000,0.0001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,940.0379284750088,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.04600334460002,-13.59290630565516,-2.889740729096829,-36.97909323426189,149.17363390964562,2.9891709244327807e-05,38.98014412614984,0.4463890137891843,76
3e-05,1e-08,0.005,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,940.0906688469986,200.0,0.0,-200.0,200.0,0.0,-200.0,-352.116708479485,-301.83230571617753,-11.970887392164792,-352.1100428875667,924.8663389620568,6.7814300731548665,183.23530809565187,0.6383864366237025,20
3e-05,1e-08,0.02,20000,0.001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,940.239887217991,200.0,0.0,-200.0,200.0,0.0,-200.0,-355.8826019069485,-308.72930509007875,-15.73129890898682,-355.87625538495075,920.7756109208268,22.54248977220129,488.4568066090436,0.6045643760624625,43
3e-05,1e-08,0.02,20000,0.0003,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,940.3915216269961,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86472291097357,-47.276259131523986,-7.7083985897473415,-109.8050274526684,391.4702705393607,7.530450834994137e-05,111.15194181285479,0.44318415599151,35
3e-05,1e-08,0.02,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,940.4857991570025,200.0,0.0,-200.0,200.0,0.0,-200.0,-345.9677753012554,-296.23839472704987,-5.8126639495620545,-345.95353089702155,918.6337515993191,0.2993518992172651,551.3352487249718,0.4232191327601968,42
3e-05,1e-08,0.5,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,940.6565173550043,200.0,0.0,-200.0,200.0,0.0,-200.0,-353.99867914136934,-313.80212284535577,-13.848880202043139,-353.99261220276236,937.9101014902035,3.398701391109603,227.98222229693437,0.6426212285866173,92
