feature_type,reset_name,reset_probs,policy_fraction,random_fraction,epsilon,n_transitions,mean_steps,successes,solver_alpha,solver_eta,solver_rho,solver_T,solver_beta,dataset_rows,status,error
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",1.0,0.0,0.0,25000,181.7,7,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",1.0,0.0,0.1,25000,185.6,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",1.0,0.0,0.2,25000,186.8,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",1.0,0.0,0.4,25000,186.4,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",1.0,0.0,0.6,25000,193.2,2,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.8,0.2,0.0,25000,193.5,2,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.8,0.2,0.1,25000,193.1,5,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.8,0.2,0.2,25000,192.0,5,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.8,0.2,0.4,25000,190.8,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.8,0.2,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.6,0.4,0.0,25000,199.0,1,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.6,0.4,0.1,25000,197.1,1,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.6,0.4,0.2,25000,187.3,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.6,0.4,0.4,25000,191.4,2,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.6,0.4,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.4,0.6,0.0,25000,198.9,1,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.4,0.6,0.1,25000,198.0,2,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.4,0.6,0.2,25000,198.8,1,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.4,0.6,0.4,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.4,0.6,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.2,0.8,0.0,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.2,0.8,0.1,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.2,0.8,0.2,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.2,0.8,0.4,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.2,0.8,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.0,1.0,0.0,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.0,1.0,0.1,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.0,1.0,0.2,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.0,1.0,0.4,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_10_custom_90,"{""custom"": 0.9, ""x0"": 0.1}",0.0,1.0,0.6,25000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",1.0,0.0,0.0,25000,183.7,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",1.0,0.0,0.1,25000,185.0,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
rbf,x0_20_custom_80,"{""custom"": 0.8, ""x0"": 0.2}",1.0,0.0,0.2,25000,184.3,6,0.0001,2e-05,0.5,20000,1e-06,25000,ok,
