run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,device,torch_threads,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm
1,Generalized FOGAS,4000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4653047701622464,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.0004748452048658648,0.00034903617354421843,-0.82274123760695,1.0,-0.8230225495455893,0.0004037224090405011,74.40688405900073,0.0005,3e-05,0.1,10000,0.01,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:0,1,7.378029634337818,73.07190173610627,-7.4435961905154295,7.4488302637939405,7117.149895972379,0.0241253058414402,3.4059488506964737,0.03480622871927968
4,Generalized FOGAS,16000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4684255651635614,1.962615573354719e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.0004955746628286327,0.00036413570539345195,-0.82274123760695,1.0,-0.8230288642650617,0.00041696858353144553,75.51181859000098,0.0005,3e-05,0.1,10000,0.01,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:3,1,7.515097213147261,67.38129639514487,-7.686385202522313,7.585533957536556,7112.589104643206,0.024293542089670512,3.248897058580952,0.04160628940650315
2,Generalized FOGAS,8000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.466840006411296,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.0004912479760971252,0.0003610586043794864,-0.82274123760695,1.0,-0.8230304500694569,0.0004177354647177809,75.51261608800087,0.0005,3e-05,0.1,10000,0.01,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:1,1,7.437145523736579,70.5441216663413,-7.558316763946518,7.507270849198779,7107.57349520164,0.02429749589557456,3.381431266861242,0.03730034665054269
3,Generalized FOGAS,12000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4678003856874062,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.0004624605574338855,0.0003398456929081616,-0.82274123760695,1.0,-0.8230165786093563,0.0003940921035637157,75.39525082900036,0.0005,3e-05,0.1,10000,0.01,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:2,1,7.651802957304255,68.51244826320803,-7.949936549919183,7.723604436484001,7116.945449421698,0.024036989496694597,3.2627307813316877,0.04372463385335994
5,Generalized FOGAS,20000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4688506789151101,1.9625665073520523e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.000467034772320644,0.0003431486726880193,-0.82274123760695,1.0,-0.8230152949281053,0.00039414844302181165,76.17098283300038,0.0005,3e-05,0.1,10000,0.01,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:4,1,7.5885210144029625,63.45724651847597,-8.133196102593242,7.659123470984415,7105.150704973911,0.02401524020118744,3.0663825700501257,0.043116299775648806
6,Generalized FOGAS,4000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5557673313208145,1.962247548429143e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.194843513975412,0.14388457573745397,-0.9174655068217653,0.99,-0.9147116649238859,0.15365925335942476,76.66226168900175,0.0005,3e-05,0.1,10000,0.01,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:5,1,2.307994460154667,100.87563420881358,-17.14726999908324,2.3761133915831905,3092.782282624407,0.6179068621061143,3.2087442289193007,0.014172060345205148
8,Generalized FOGAS,12000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5488595087238135,1.9744780803862732e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.27297359580740277,0.20210027850884352,-0.9232587107595972,0.99,-0.9352982695259026,0.20191266712798914,77.48761266399924,0.0005,3e-05,0.1,10000,0.01,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:7,1,3.8034381924226963,101.501736817687,-13.695742159815882,3.8676678255130614,2520.424561593018,1.1284504895387606,2.9448693209160153,0.013513564362320436
7,Generalized FOGAS,8000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5504081303501414,1.968861471908425e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.3371820514224266,0.2479233362382848,-0.9657900184750483,0.92,-0.9713699305871724,0.2616061311206475,77.4343759809999,0.0005,3e-05,0.1,10000,0.01,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:6,1,2.879783664001769,112.24315334378292,-15.931900765032482,2.94839216368508,2736.2074526806973,0.40236590273837086,3.2676996847395494,0.014258739652027088
9,Generalized FOGAS,16000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5570381682470642,1.972617824621101e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.29709686509777083,0.2206153099939083,-0.9330455790764316,0.98,-0.94148163064119,0.21539869664273073,72.78422115299873,0.0005,3e-05,0.1,10000,0.01,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:0,1,3.991145129907709,95.36038579189736,-13.809667208810785,4.054976155337362,2117.7260034941996,0.8309283981697859,2.848604055178537,0.01494283473255954
13,Generalized FOGAS,12000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8127157949595638,0.026619316294751078,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.28547345629892495,0.21347049071711693,-0.9709939781940805,0.94,-0.9506663168780564,0.21680692660737974,72.51308164499824,0.0005,3e-05,0.1,10000,0.01,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:4,1,-2.7857680598194836,66.64421269468396,-12.130510870690074,-2.6485470292536184,1965.6638123728428,1.36181873550588,2.815887402069963,0.018186283811389224
