run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,device,torch_threads,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm
1,Generalized FOGAS,4000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4653047701622461,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.007651898086008129,0.005624782938155924,-0.8248374634124623,1.0,-0.8266924723456253,0.006196113824103784,96.38162169704447,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:0,1,-0.10366812504611733,-18.56609577920198,2.63851277931558,-0.008568807228676487,162.14614052489685,0.00040515877954402387,0.4724266728531655,0.0006883550007010353
2,Generalized FOGAS,8000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4668400064112963,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.00768065941599934,0.0056454382586378265,-0.8248374634124623,1.0,-0.8267111170282785,0.006224545746630316,97.55087744805496,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:1,1,-0.10983413998065972,-18.214774486462638,2.9538431066432485,-0.015404959208681911,160.97105499765144,0.0002987347665048308,0.537563461874581,0.0012200208600210386
3,Generalized FOGAS,12000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.467800385687406,1.9622884434960658e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.00763296363259908,0.005609587957927199,-0.8248374634124623,1.0,-0.8266905499774788,0.006186119051140402,98.17618982499698,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:2,1,-0.10790225141096066,-18.195765991436964,2.9492384722292044,-0.0132231107962562,160.68653855147454,0.00019831431188123538,0.5087430752439154,0.0011292003152108927
4,Generalized FOGAS,16000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4684255651635614,1.962615573354719e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.007727228918058316,0.005678068552548193,-0.8248374634124623,1.0,-0.8267243668435317,0.006252661061090263,98.01374865398975,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:3,1,-0.10364146545059016,-18.820716267617247,2.814489660467183,-0.008454457946388572,162.55153530562035,0.00034396693442067925,0.501200544768416,0.0009137777118144328
5,Generalized FOGAS,20000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4688506789151103,1.9625665073520523e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.0076685398841931955,0.0056344595748768385,-0.8248374634124623,1.0,-0.8267085244121622,0.006215565023355777,99.94304712599842,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:4,1,-0.10697702085921756,-18.77649562784977,2.955811319839128,-0.01206316868384583,162.4527468827141,0.0002560281973878868,0.5161607914539424,0.0006720174653312888
6,Generalized FOGAS,4000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5557673313208145,1.962247548429143e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.09594542150610245,0.07071570690417972,-0.8509571926774159,1.0,-0.8664798204973267,0.07299948106626278,98.67793937999522,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:5,1,-0.1501853957240451,-16.416446112296676,2.616746384434523,-0.04553173677901136,202.5969954547628,0.08289032243179371,0.5286673629729287,0.005797797679555699
7,Generalized FOGAS,8000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5504081303501414,1.9708168903637287e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.11533667406983536,0.08466674589624434,-0.8605573870413191,0.99,-0.8775912100113596,0.0912151757951875,98.87155886599794,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:6,1,-0.15370560028163327,-18.686124378698032,3.00955218644857,-0.04775429297013738,202.10112727594628,0.05341835121357485,0.5759135533812566,0.006673213159528031
8,Generalized FOGAS,12000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5488595087238135,0.06707744529025135,0.053740115370177595,-0.82274123760695,1.0,-0.8227412376069501,0.0033679164854679504,0.17937051877076338,0.1335542850176276,-0.8844551566711308,0.98,-0.8993621741240033,0.13438135278472518,101.29429631197127,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:7,1,-0.1702765075548749,-18.515393148411363,2.5362719089923638,-0.05319790215817295,234.5049538108391,0.10277918587787416,0.5166321257906725,0.004607087004151649
9,Generalized FOGAS,16000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.557038168247064,0.06872159087579388,0.053740115370177595,-0.82274123760695,1.0,-0.8227412376069501,0.0033679164854679504,0.280013750745028,0.21064026953948395,-0.9169635123463893,0.96,-0.9217729819232412,0.1845309927251549,96.87151250103489,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:0,1,-0.1741152467264624,-16.7684566645378,2.4063990445323378,-0.06690104649585457,202.3485592232124,0.13840904722510114,0.5003540938958275,0.010199265403541309
10,Generalized FOGAS,20000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.556876014934485,1.9724042404289786e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.24134481203003083,0.17871816220387163,-0.9063850482367724,0.97,-0.9221211048675445,0.1796968427465518,96.88369685801445,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:1,1,0.006811364990236601,-18.28181437382549,3.0729858266889676,0.11893890136280877,212.3246144536385,0.11239287864966471,0.608734329919353,0.011961097624765467
11,Generalized FOGAS,4000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8072701370943494,0.8195787605920156,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,1.5245435656469621,1.2171940066221147,-1.072196496624765,0.0,-1.0821780353104014,0.7023586778573523,99.63677791901864,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:2,1,-0.12566398619343033,-28.393271168500593,3.0577663456046835,0.061521882732435265,342.65100089644193,0.3161131198972022,0.5492570815584835,0.04137882815474283
12,Generalized FOGAS,8000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8060093288356303,0.8072191234786055,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,1.2582013673382404,0.9826780829070803,-1.1118393409732215,0.0,-1.107001524809964,0.704556310515667,100.89331702591153,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:3,1,-0.15934796164469933,-25.142180178551506,3.414589540482369,0.007051857350585403,307.43206186748574,0.4071231413313222,0.686013774211088,0.031470256446711545
