Dataset Size,Epsilon,Proportions,Init Mode,Coverage Ratio,Log Coverage,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
4000,0.1,100% Eps-Greedy,100/0,64.94553200775599,1.8125492787174078,1,0.2022101839071504,2.380000033651659,2.190046762359949
8000,0.1,100% Eps-Greedy,100/0,64.95107052574306,1.812586313524389,1,0.21436248810041872,2.484241804973264,2.2821362294882848
12000,0.1,100% Eps-Greedy,100/0,64.95709171236713,1.812626572243813,1,0.2298989740582403,2.4473061964880323,2.229664135045232
16000,0.1,100% Eps-Greedy,100/0,64.96087674135141,1.8126518777072795,1,0.1659107748839887,1.5340917795244675,1.380437917255919
20000,0.1,100% Eps-Greedy,100/0,64.96436790375876,1.8126752171679585,1,0.2109418877430337,2.4914280737298626,2.2927430986022688
4000,0.3,100% Eps-Greedy,100/0,65.14179972772386,1.8138597530164222,1,0.14867636736506085,1.9905827532650624,1.8541632985154417
8000,0.3,100% Eps-Greedy,100/0,65.13501532683807,1.8138145196743398,1,0.12283581728545198,1.3115596725341774,1.2009807678641655
12000,0.3,100% Eps-Greedy,100/0,65.19034741241582,1.8141832954886161,1,0.15890085796896683,1.405235836699982,1.258591891346455
16000,0.3,100% Eps-Greedy,100/0,65.15925055336585,1.813976080510482,1,0.15357897332639314,1.3939875114974818,1.252665450786529
20000,0.3,100% Eps-Greedy,100/0,65.1602671749124,1.813982856366249,1,0.1845443056105509,1.4082277956112157,1.2359404026161052
4000,0.5,100% Eps-Greedy,100/0,65.43323037263244,1.8157983615084727,1,0.2513093902044177,1.4949309147467555,1.255878437157778
8000,0.5,100% Eps-Greedy,100/0,65.4200752968507,1.815711039651206,1,0.18086521375191975,1.3658037024540521,1.1971954013175723
12000,0.5,100% Eps-Greedy,100/0,65.36535443642354,1.8153476204360266,1,0.2017722313406871,1.3752268747377938,1.1857115560125466
16000,0.5,100% Eps-Greedy,100/0,65.43205486578285,1.8157905593455492,1,0.1395188812609443,1.339265245941751,1.2120032772962466
20000,0.5,100% Eps-Greedy,100/0,65.39977154762319,1.8155762312634123,1,0.17362849748643336,1.3710844625376843,1.209712877666691
4000,0.7,100% Eps-Greedy,100/0,66.70475904805598,1.824156819742324,1,0.22383131824127797,3.7353545226237643,3.523780116997927
8000,0.7,100% Eps-Greedy,100/0,66.42371511651046,1.822323162281315,1,0.20981430554093725,3.674492523054272,3.4769351301287754
12000,0.7,100% Eps-Greedy,100/0,67.2934779111336,1.8279729744102453,1,0.17477549945484014,1.6603765928967582,1.497858006057358
16000,0.7,100% Eps-Greedy,100/0,66.48190746806858,1.8227034715307537,1,0.21415197006896033,2.4951595122867216,2.293264454833201
20000,0.7,100% Eps-Greedy,100/0,66.43943098781153,1.8224259043345676,1,0.18649990429378097,2.451815550577729,2.2775725588993883
4000,0.9,100% Eps-Greedy,100/0,78.51228890208486,1.8949376387154833,0,0.18157866411244725,4.743437019795051,4.574115268298044
8000,0.9,100% Eps-Greedy,100/0,94.86219896211927,1.977093187636594,0,0.1808507012710859,4.301884989701882,4.1332912010462355
12000,0.9,100% Eps-Greedy,100/0,88.13938546732268,1.9451700181607265,0,0.19785885237667522,5.352400823523114,5.166798883761879
16000,0.9,100% Eps-Greedy,100/0,80.39759852213027,1.9052430765573625,0,0.1348239729381331,3.1442406973740358,3.021673637051343
20000,0.9,100% Eps-Greedy,100/0,78.83365498925438,1.8967116623597484,0,0.1499014926050772,2.3852891539669656,2.2476445739773285
4000,0.1,80% Eps-Greedy / 20% Random,100/0,65.24592991218616,1.8145534252546118,1,0.2956045217874098,4.355768261621646,4.072420652449676
8000,0.1,80% Eps-Greedy / 20% Random,100/0,65.272449472974,1.8147299107293076,1,0.20187680264593633,3.157252398756302,2.9676325087258055
12000,0.1,80% Eps-Greedy / 20% Random,100/0,65.25610701213216,1.814621161490175,1,0.1930917646470776,2.014209050897288,1.8333741988656502
16000,0.1,80% Eps-Greedy / 20% Random,100/0,65.21199007070852,1.8143274537504688,1,0.22539479035985294,3.148651272858187,2.935513395113774
20000,0.1,80% Eps-Greedy / 20% Random,100/0,65.2273324234575,1.814429617715163,1,0.17849412461090908,3.0317239630896955,2.8654867510942266
4000,0.3,80% Eps-Greedy / 20% Random,100/0,65.32806765302126,1.8150998123296966,1,0.18639357857481179,1.3185226079296766,1.144385941970305
8000,0.3,80% Eps-Greedy / 20% Random,100/0,65.35469361271184,1.815276782993876,1,0.14187204460399624,1.2204049582899055,1.0907898263013496
12000,0.3,80% Eps-Greedy / 20% Random,100/0,65.3263347364812,1.815088291920476,1,0.1800586310935702,1.237294895408061,1.069493176929931
16000,0.3,80% Eps-Greedy / 20% Random,100/0,65.34994157447235,1.8152452036396602,1,0.17819748603485328,1.8271699532962786,1.6612293798768656
20000,0.3,80% Eps-Greedy / 20% Random,100/0,65.37865308526746,1.81543596910973,1,0.14181754828361734,1.2159651971350678,1.0864045614668902
4000,0.5,80% Eps-Greedy / 20% Random,100/0,65.58481141626842,1.8168032741034947,1,0.15474762751387186,1.2400574391290202,1.0975667242305884
8000,0.5,80% Eps-Greedy / 20% Random,100/0,65.54940872370689,1.8165687785708853,1,0.14438270432102102,1.2276057610340518,1.095479969328471
12000,0.5,80% Eps-Greedy / 20% Random,100/0,65.57791842764068,1.816757627189449,1,0.1524120742766583,1.257546027561989,1.117390865900771
16000,0.5,80% Eps-Greedy / 20% Random,100/0,65.60929013357382,1.8169653388891458,1,0.14988175800868908,1.2375216604463843,1.0998968150531354
20000,0.5,80% Eps-Greedy / 20% Random,100/0,65.59454380430024,1.8168677159879454,1,0.14897490565644167,1.2457888819473215,1.1090708889063197
4000,0.7,80% Eps-Greedy / 20% Random,100/0,66.54532193782472,1.823117530464358,0,0.17918483817260406,2.501356131631046,2.3344282060738824
8000,0.7,80% Eps-Greedy / 20% Random,100/0,67.86642978374586,1.8316550030738665,0,0.190141127206215,1.720835274454099,1.542951059863324
12000,0.7,80% Eps-Greedy / 20% Random,100/0,67.0709973769365,1.8265347645496761,0,0.15913407430554194,1.605183294581258,1.4583061328911562
16000,0.7,80% Eps-Greedy / 20% Random,100/0,67.39151654661961,1.8286052296380277,1,0.16659880094886678,1.6767420352444118,1.5224001469109851
20000,0.7,80% Eps-Greedy / 20% Random,100/0,66.90070651563272,1.8254307042285176,1,0.1595493361153674,1.5891046783017826,1.4418122548018553
4000,0.9,80% Eps-Greedy / 20% Random,100/0,74.01038263850579,1.8692926495460023,0,0.2203717781619466,7.202508207934692,6.994393342388186
8000,0.9,80% Eps-Greedy / 20% Random,100/0,82.62420157420937,1.9171072757785321,0,0.1691383549382329,3.22354198917081,3.066660546848018
12000,0.9,80% Eps-Greedy / 20% Random,100/0,82.04629473226224,1.9140589727910897,0,0.15743211688282013,2.3656456331552405,2.2204704288878605
16000,0.9,80% Eps-Greedy / 20% Random,100/0,80.50405181239567,1.9058177391937268,0,0.15165590102308296,2.3747346684986255,2.2353356800909827
20000,0.9,80% Eps-Greedy / 20% Random,100/0,82.77260192399527,1.9178866072886476,0,0.1560980127518673,3.3206104280317725,3.176769327895345
4000,0.1,60% Eps-Greedy / 40% Random,100/0,65.44053454149308,1.8158468381490958,1,0.21930475803555755,4.4781232037309096,4.2710753583107905
8000,0.1,60% Eps-Greedy / 40% Random,100/0,65.5531178678058,1.8165933526329885,1,0.21674241278331782,3.739796286429472,3.5353107862615945
12000,0.1,60% Eps-Greedy / 40% Random,100/0,65.6018414060335,1.8169160299435787,1,0.1388728972491492,1.955152757497161,1.828536772863452
16000,0.1,60% Eps-Greedy / 40% Random,100/0,65.53811738489165,1.816493961899941,1,0.1809865994265922,3.012986251125359,2.8442565643142066
20000,0.1,60% Eps-Greedy / 40% Random,100/0,65.59416319732452,1.8168651960224225,1,0.18875518287606866,3.048429299588317,2.8719310293276887
4000,0.3,60% Eps-Greedy / 40% Random,100/0,65.63612983597385,1.8171429654274807,1,0.17507075457439167,1.2453854328034275,1.0825715908444757
8000,0.3,60% Eps-Greedy / 40% Random,100/0,65.70441001628666,1.8175945199625547,1,0.14455302263717495,1.2677596685831742,1.1354635585614394
12000,0.3,60% Eps-Greedy / 40% Random,100/0,65.71183178532873,1.817643573767475,1,0.17019965715230953,1.255473201226716,1.0975304566898467
16000,0.3,60% Eps-Greedy / 40% Random,100/0,65.70508055760979,1.8175989520990046,1,0.18733587365852372,2.1025583079164405,1.9274793468733566
20000,0.3,60% Eps-Greedy / 40% Random,100/0,65.73505079632193,1.8177970028676018,1,0.1413102965371941,1.2532259574769113,1.1241725735551575
4000,0.5,60% Eps-Greedy / 40% Random,100/0,66.1637452898645,1.8206200810771929,1,0.1768976195937612,1.3813924044663808,1.2167516974880597
8000,0.5,60% Eps-Greedy / 40% Random,100/0,65.95496881551242,1.819247519334563,1,0.17576485348160376,1.2987068077734456,1.135198866907282
12000,0.5,60% Eps-Greedy / 40% Random,100/0,65.98292997393567,1.8194315964966834,1,0.18750483534223203,1.342156664162414,1.166908741435622
