feature_type,reset_name,reset_probs,policy_fraction,random_fraction,epsilon,n_transitions,mean_steps,successes,solver_alpha,solver_eta,solver_rho,solver_T,solver_beta,dataset_rows,status,error
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.0,10000,163.8,8,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.0,20000,179.0,3,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.0,30000,171.5,4,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.0,40000,166.0,6,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.0,50000,178.8,3,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.2,10000,146.8,10,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.2,20000,177.0,4,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.2,30000,170.7,5,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.2,40000,174.6,4,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.2,50000,170.6,5,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.4,10000,167.6,7,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.4,20000,173.0,8,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.4,30000,175.6,4,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.4,40000,181.9,3,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.4,50000,177.0,5,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.6,10000,154.4,9,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.6,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.6,30000,157.8,10,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.6,40000,197.2,3,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.6,50000,161.8,9,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
