Dataset Size,Epsilon,Proportions,Init Mode,Extra Steps,Coverage Ratio,Convergence,Final Reward,V Optimal Gap,Q Optimal Gap
20000,0.5,60% Eps-Greedy / 40% Random,100/0,0.0,65.65527451051116,0,-0.1,0.09749231931617751,-3.7364323621336136e-17
4000,0.7,60% Eps-Greedy / 40% Random,100/0,0.0,73.43119224359074,0,-0.1,3.2172465374338604,3.1197542181176825
8000,0.7,60% Eps-Greedy / 40% Random,100/0,0.0,67.35059127998056,0,-0.1,0.1949846386323551,0.09749231931617752
12000,0.7,60% Eps-Greedy / 40% Random,100/0,0.0,67.78728848655356,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
16000,0.7,60% Eps-Greedy / 40% Random,100/0,0.0,67.03131659761394,0,-0.1,0.1949846386323551,0.09749231931617752
20000,0.7,60% Eps-Greedy / 40% Random,100/0,0.0,67.1863449266136,0,-0.1,0.1949846386323551,0.09749231931617752
4000,0.9,60% Eps-Greedy / 40% Random,100/0,0.0,91.52850398462543,0,-0.1,4.172856140630416,4.075363821314238
8000,0.9,60% Eps-Greedy / 40% Random,100/0,0.0,93.16984028864968,0,-0.1,3.2172465374338604,3.1197542181176825
12000,0.9,60% Eps-Greedy / 40% Random,100/0,0.0,90.12096823485896,0,-1.6376719208410009,4.7451692263432435,3.1100049861860644
16000,0.9,60% Eps-Greedy / 40% Random,100/0,0.0,88.95033602461858,0,-0.1,3.2172465374338604,3.1197542181176825
20000,0.9,60% Eps-Greedy / 40% Random,100/0,0.0,88.92168392257433,0,-0.1,3.2172465374338604,3.1197542181176825
4000,0.1,40% Eps-Greedy / 60% Random,100/0,0.0,65.94038408764324,0,-0.1,2.5833476200357532,2.4858553007195754
8000,0.1,40% Eps-Greedy / 60% Random,100/0,0.0,66.11920060116451,1,-0.002507680683822407,-3.4841365025117815e-17,-3.7364323621336136e-17
