critic_update,alpha,actor_lr,ridge,T,batch_size,critic_lr,critic_inner_steps,intended_prob,dataset_path,num_trajectories,max_steps,max_steps_long,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_success_rate_200,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_success_rate_200,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_objective,final_actor_loss,final_critic_loss,final_critic_objective,final_theta_norm,final_psi_norm,final_policy_grad_norm,final_actor_delta_mean,final_actor_delta_std,final_critic_delta_mean,final_critic_delta_std,done_fraction,run_idx
batch_adam,0.01,0.01,1e-08,1000,64.0,0.001,50.0,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:7,ok,,108.72611754294485,0.0,0.0,-1.0328204546670237,-1.0619012669561843,0.06381369120029513,0.0,0.0,-0.9999734386011134,-1.0003246929216287,0.0004895671197975725,6.1269126874661834,-6.1269126874661834,6.127966717851807,6.127429315395321,32.78421743725458,32.42311405095234,0.010338489508225352,0.022319576895680274,0.3557213492969413,0.022344643863182013,0.3557342419943126,0.07975,3692
batch_adam,0.01,0.01,1e-06,1000,64.0,0.001,50.0,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,105.71320839389227,0.0,0.0,-1.0380341662709478,-1.0734544832487463,0.06998801716135583,0.0,0.0,-0.9999734386011134,-1.0003246932711516,0.0004895746033828584,6.088914190302174,-6.088914190302174,6.138153355811544,6.089253924760941,31.27280961173876,31.841953273710523,0.00908968301152106,0.010927588406744015,0.3549388205951581,0.010960443437661394,0.3549473238204223,0.07975,3724
batch_adam,0.0003,0.01,1e-06,5000,256.0,0.001,100.0,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,831.0042490030173,0.0,0.0,-1.0424939371744697,-1.064723957126456,0.059653271760352546,0.0,0.0,-0.9999734386011134,-1.0008738246315243,0.0009084770807876141,147.31144019111326,-147.31144019111326,149.84135415333964,147.3172005537071,38.91647671333472,47.796422592408085,0.23287599805843853,0.05725977972232239,0.2919554591383771,0.05726428150280091,0.2919604945030835,0.07975,2198
batch_adam,0.0003,0.01,1e-08,5000,512.0,0.001,50.0,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,414.17568122199737,0.0,0.0,-1.0442468545584693,-1.0671615522565026,0.06219529698721941,0.0,0.0,-0.9999734386011134,-1.000873824654152,0.0009084774488479715,146.2668210785389,-146.2668210785389,146.29690768349855,146.27087981323075,39.517998634386416,51.327914695350806,0.17933423391488157,0.05991395904868528,0.2903474868364164,0.05992097064069341,0.2903502322181729,0.07975,2136
batch_adam,0.0003,0.01,1e-08,1000,1024.0,0.001,50.0,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:3,ok,,170.98632912011817,0.0,0.0,-1.045594996934962,-1.0680664792735797,0.06194703252137309,0.0,0.0,-0.9999734386011134,-1.0008738300453377,0.0009085389252787187,139.19611029429703,-139.19611029429703,139.2266062482227,139.2000656621942,39.9053274853264,34.050462711994115,0.32794787566973144,0.051747376286095534,0.284548251074962,0.05175106814049053,0.2845517494701988,0.07975,2117
batch_adam,0.0003,0.01,1e-06,1000,1024.0,0.001,50.0,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:4,ok,,184.63840799080208,0.0,0.0,-1.045594996934962,-1.0670222171978492,0.061154273484161,0.0,0.0,-0.9999734386011134,-1.0008738300453377,0.0009085389252787187,139.29951053127652,-139.29951053127652,141.83655804550557,139.30341969918828,38.98567695693348,33.81779978838781,0.3261455879287542,0.04909699363681073,0.2851238004958687,0.049100583697212825,0.2851272950641471,0.07975,2151
batch_adam,0.01,0.01,1e-06,1000,256.0,0.0003,50.0,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:6,ok,,103.90044912998565,0.0,0.0,-1.0458720674499626,-1.0839293799996053,0.07413698490376952,0.0,0.0,-0.9999734386011134,-1.0008743029308609,0.000910580355442705,4.3891348158197685,-4.3891348158197685,4.445641170565475,4.389792576089399,33.42112938728298,37.6989650230656,0.009510388166017632,0.01453585052802367,0.30280254398096,0.014589224642821946,0.3028215949227739,0.07975,3733
batch_adam,0.001,0.01,1e-06,1000,1024.0,0.001,50.0,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:4,ok,,172.69010053994134,0.0,0.0,-1.0464070771100518,-1.0692014056660624,0.06308842251194956,0.0,0.0,-0.9999734386011134,-1.0008738300453377,0.0009085389252787187,41.643020578661925,-41.643020578661925,42.40580974686939,41.64420174911546,39.02839985840891,33.8193926984227,0.09791638231721846,0.04955836475690854,0.2850525837861602,0.04956197755113984,0.2850560982094314,0.07975,2679
batch_adam,0.01,0.01,1e-08,1000,256.0,0.0003,50.0,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:5,ok,,106.87309528607875,0.0,0.0,-1.0466078853090939,-1.085201673393302,0.07485656106401439,0.0,0.0,-0.9999734386011134,-1.0008743026953986,0.0009105798209019497,4.3569748908271695,-4.3569748908271695,4.35819694793485,4.357625755708546,33.79917828302578,38.06130224266137,0.009363656997819518,0.01689946756729823,0.30167814803696685,0.016953993153506836,0.3016965098076369,0.07975,3701
batch_adam,0.0003,0.01,1e-08,5000,256.0,0.003,50.0,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:4,ok,,479.391131935874,0.0,0.0,-1.0466761321721079,-1.0665133402666904,0.061144516250490985,0.0,0.0,-0.9999734386011134,-1.0008625311143542,0.0008892619523427703,150.93963103088413,-150.93963103088413,150.97287609234746,150.94600547727964,40.152669949440806,46.56683582261226,0.4396448991013305,0.06805924604413097,0.2933662743384498,0.06806709734499092,0.29337097044127425,0.07975,2153
